timesteps,wall_min,level,episodes_at_level,success_rate,fail_rate,top_failure,final_abs_heading_err,ep_rew_mean
4096,0.06174798011779785,H1,2,0.0,1.0,altitude_deviation,5.1600139294581036,91.36747741699219
8192,0.13300695021947226,H1,6,0.0,0.8333333333333334,altitude_deviation,3.878414431805961,101.25188446044922
12288,0.2031269669532776,H1,10,0.0,0.5,altitude_deviation,3.9492919248821168,115.01226806640625
16384,0.27378511826197305,H1,14,0.0,0.35714285714285715,altitude_deviation,3.279692043521404,123.79637145996094
20480,0.34190355936686195,H1,16,0.0,0.3125,altitude_deviation,3.041575651455268,125.82677459716797
24576,0.4132888992627462,H1,20,0.0,0.25,altitude_deviation,2.5916549614768667,133.9382781982422
28672,0.4860816438992818,H1,24,0.0,0.20833333333333334,altitude_deviation,2.365023352253535,139.66575622558594
32768,0.5541790326436361,H1,26,0.0,0.19230769230769232,altitude_deviation,2.253497848213828,142.41883850097656
36864,0.6209220846494039,H1,30,0.0,0.16666666666666666,altitude_deviation,2.0148998355807106,148.02403259277344
40960,0.6903863708178203,H1,34,0.058823529411764705,0.14705882352941177,altitude_deviation,1.8432434632646362,152.6564178466797
45056,0.7586779236793518,H1,38,0.15789473684210525,0.13157894736842105,altitude_deviation,1.6729159613016673,156.6817626953125
49152,0.8242704431215923,H1,40,0.2,0.125,altitude_deviation,1.6042023345524168,158.99630737304688
53248,0.8932469328244527,H1,44,0.2727272727272727,0.11363636363636363,altitude_deviation,1.4822316406734188,163.3302764892578
57344,0.9641005039215088,H1,48,0.3333333333333333,0.10416666666666667,altitude_deviation,1.381814663528609,167.5084686279297
61440,1.0327210307121277,H1,50,0.36,0.1,altitude_deviation,1.332413147779828,169.4743194580078
65536,1.1040045738220214,H1,54,0.4074074074074074,0.09259259259259259,altitude_deviation,0.9507463893711602,172.96009826660156
69632,1.1762311299641928,H1,58,0.4482758620689655,0.08620689655172414,altitude_deviation,0.7412603276746447,175.95712280273438
73728,1.245664087931315,H1,60,0.4666666666666667,0.08333333333333333,altitude_deviation,0.5642508939991424,177.4230194091797
77824,1.3178840637207032,H1,64,0.5,0.078125,altitude_deviation,0.44271149492185957,180.177978515625
81920,1.38962877591451,H1,68,0.5294117647058824,0.07352941176470588,altitude_deviation,0.3707072519371297,182.74209594726562
86016,1.460501452287038,H1,72,0.5555555555555556,0.06944444444444445,altitude_deviation,0.28179193004578407,185.14686584472656
90112,1.5306938370068868,H1,74,0.5675675675675675,0.06756756756756757,altitude_deviation,0.23935827755882066,186.2722625732422
94208,1.6040362079938253,H1,78,0.5897435897435898,0.0641025641025641,altitude_deviation,0.1877236702095729,188.39039611816406
98304,1.678684937953949,H1,82,0.6097560975609756,0.06097560975609756,altitude_deviation,0.15963052336043218,190.3639373779297
102400,1.7468489329020183,H1,84,0.6190476190476191,0.05952380952380952,altitude_deviation,0.14044654093237313,191.30392456054688
106496,1.8206485430399577,H1,88,0.6363636363636364,0.056818181818181816,altitude_deviation,0.12565143632362719,193.04905700683594
110592,1.8956599156061809,H1,92,0.6521739130434783,0.05434782608695652,altitude_deviation,0.11220357220344143,194.64381408691406
114688,1.9697309692700704,H1,96,0.6666666666666666,0.052083333333333336,altitude_deviation,0.09487715944976402,196.1208953857422
118784,2.0430064598719277,H1,98,0.673469387755102,0.05102040816326531,altitude_deviation,0.08531453808737384,196.82118225097656
122880,2.1176005164782206,H1,102,0.7,0.049019607843137254,altitude_deviation,0.07989765015249115,200.28640747070312
126976,2.191813949743907,H1,106,0.74,0.04716981132075472,altitude_deviation,0.07244924278010652,205.29981994628906
131072,2.262124152978261,H1,108,0.76,0.046296296296296294,altitude_deviation,0.06908734120988365,207.3330841064453
135168,2.3341523011525473,H2,0,0.0,0,,nan,211.0714111328125
139264,2.4079267303148906,H2,4,1.0,0,,0.04710127820888488,214.4465789794922
143360,2.4810542742411297,H2,6,1.0,0,,0.04898644126432394,215.78634643554688
147456,2.5569531162579855,H2,10,1.0,0,,0.05079542960342458,218.2228546142578
151552,2.6309003194173175,H2,14,1.0,0,,0.049185126240485086,220.73675537109375
155648,2.703771535555522,H2,18,1.0,0,,0.04627415583015399,222.63125610351562
159744,2.777194575468699,H2,20,1.0,0,,0.0437550879730277,223.6182403564453
163840,2.8498839338620505,H2,24,1.0,0,,0.04665162948932644,225.34271240234375
167936,2.9219478090604145,H2,28,1.0,0,,0.04492286075265696,226.64852905273438
172032,2.993719017505646,H2,30,1.0,0,,0.04538807142138103,227.2143096923828
176128,3.067889205614726,H2,34,1.0,0,,0.04651068964678977,228.0445098876953
180224,3.140861972173055,H2,38,1.0,0,,0.046304994440479315,228.73446655273438
184320,3.2142167051633197,H2,42,1.0,0,,0.04530925134101768,229.3668975830078
188416,3.2802616874376933,H2,44,1.0,0,,0.04411202636166427,229.6982421875
192512,3.3489337007204694,H2,48,1.0,0,,0.04270118653365393,230.24588012695312
196608,3.4182392358779907,H2,52,1.0,0,,0.042636384707678415,230.68968200683594
200704,3.481870130697886,H2,54,1.0,0,,0.04150254556084389,230.88705444335938
204800,3.552723983923594,H2,58,1.0,0,,0.04031405319994765,231.20785522460938
208896,3.6238845705986025,H2,62,1.0,0,,0.039615207703554395,231.49249267578125
212992,3.692588198184967,H2,66,1.0,0,,0.04075376256944989,231.72377014160156
217088,3.757891515890757,H2,68,1.0,0,,0.041947564302930694,231.83676147460938
221184,3.827393325169881,H2,72,1.0,0,,0.041380320612588416,232.00531005859375
225280,3.8983776768048606,H2,76,1.0,0,,0.0406064300085798,232.1636505126953
229376,3.9630461017290752,H2,78,1.0,0,,0.04232770462317163,232.2338409423828
233472,4.029922115802765,H2,82,1.0,0,,0.04204914387904522,232.38833618164062
237568,4.0998825311660765,H2,86,1.0,0,,0.041225549797860826,232.5150604248047
241664,4.165671443939209,H2,88,1.0,0,,0.04148126322731665,232.5884552001953
245760,4.2355338414510095,H2,92,1.0,0,,0.04154084774502168,232.7001953125
249856,4.304240385691325,H2,96,1.0,0,,0.04221387416815897,232.78269958496094
253952,4.3729530016581215,H3,0,0.0,0,,nan,232.84156799316406
258048,4.441520512104034,H3,2,1.0,0,,0.04654506664438207,232.85626220703125
262144,4.515652290980021,H3,6,1.0,0,,0.027726700644589375,232.83656311035156
266240,4.589372686545054,H3,10,1.0,0,,0.025570629361918673,232.7435302734375
270336,4.657020469506581,H3,12,1.0,0,,0.027217858480373502,232.74050903320312
274432,4.726663506031036,H3,16,1.0,0,,0.02879297534639197,232.75367736816406
278528,4.798741519451141,H3,20,1.0,0,,0.027213733150873366,232.7473602294922
282624,4.8675452391306555,H3,24,1.0,0,,0.028179822740830123,232.7021484375
286720,4.937432861328125,H3,26,1.0,0,,0.028751053921393287,232.71200561523438
290816,5.008783618609111,H3,30,1.0,0,,0.028627549880728718,232.6759033203125
294912,5.083231580257416,H3,34,1.0,0,,0.030512374631278524,232.65187072753906
299008,5.150638763109843,H3,36,1.0,0,,0.03074038342717864,232.59596252441406
303104,5.219054404894511,H3,40,1.0,0,,0.03183994329643862,232.5407257080078
307200,5.288808147112529,H3,44,1.0,0,,0.03311238862424714,232.5108184814453
311296,5.354488432407379,H3,46,1.0,0,,0.0343007550467346,232.48207092285156
315392,5.42575364112854,H3,50,1.0,0,,0.035671288977709194,232.43521118164062
319488,5.495350321133931,H3,54,1.0,0,,0.03705244884257212,232.36607360839844
323584,5.566056942939758,H3,58,1.0,0,,0.03882645581541027,232.25001525878906
327680,5.634850347042084,H3,60,1.0,0,,0.03888488950364916,232.20382690429688
331776,5.7063323855400085,H3,64,1.0,0,,0.0375368564850686,232.11131286621094
335872,5.7778860886891685,H3,68,1.0,0,,0.038656939798431364,232.01577758789062
339968,5.843468407789866,H3,70,1.0,0,,0.03916772282002249,231.94427490234375
344064,5.91216471195221,H3,74,1.0,0,,0.03919556312244674,231.84718322753906
348160,5.981747841835022,H3,78,1.0,0,,0.03941350632530766,231.7629852294922
352256,6.049651455879212,H3,82,1.0,0,,0.03869524784213963,231.68580627441406
356352,6.115784927209218,H3,84,1.0,0,,0.03838939456835979,231.65135192871094
360448,6.184905775388082,H3,88,1.0,0,,0.03820996245240627,231.52879333496094
364544,6.257595745722453,H3,92,1.0,0,,0.037208153809488935,231.4132843017578
368640,6.324484701951345,H3,94,1.0,0,,0.03677987121065374,231.3454132080078
372736,6.396088647842407,H3,98,1.0,0,,0.036476881242804106,231.25025939941406
376832,6.47063641945521,H4,2,1.0,0,,0.030917265386598558,231.13031005859375
380928,6.536653629938761,H4,4,1.0,0,,0.02499354552451294,230.97532653808594
385024,6.6077880859375,H4,8,1.0,0,,0.03219196899561538,230.78628540039062
389120,6.677563182512919,H4,12,1.0,0,,0.03355256332176578,230.44961547851562
393216,6.747668488820394,H4,16,1.0,0,,0.03127037164324831,230.1497039794922
397312,6.812730689843495,H4,18,1.0,0,,0.03234736841944673,229.96873474121094
401408,6.880499084790547,H4,22,1.0,0,,0.033821760919058814,229.6171875
405504,6.952132773399353,H4,26,1.0,0,,0.03535363752989276,229.39869689941406
409600,7.0189287781715395,H4,28,1.0,0,,0.036212041889358816,229.20401000976562
413696,7.088973704973856,H4,32,1.0,0,,0.034414656119660325,228.7705841064453
417792,7.157480732599894,H4,36,1.0,0,,0.03748704343625459,228.52296447753906
421888,7.226293079058329,H4,40,1.0,0,,0.03708088691900535,228.32086181640625
425984,7.291006127993266,H4,42,1.0,0,,0.03752945939038345,228.1802215576172
430080,7.360280307133992,H4,46,1.0,0,,0.038077361436673764,227.77908325195312
434176,7.43008733590444,H4,50,1.0,0,,0.03793013511454301,227.5933380126953
438272,7.495383270581564,H4,52,1.0,0,,0.03831281659400236,227.51031494140625
442368,7.561582537492116,H4,56,1.0,0,,0.040766089913626506,227.2417449951172
446464,7.630091154575348,H4,60,1.0,0,,0.04172635099495796,227.03826904296875
450560,7.696194481849671,H4,62,1.0,0,,0.04261278081234199,226.89649963378906
454656,7.763642378648123,H4,66,1.0,0,,0.04536986770561615,226.60116577148438
458752,7.831052323182424,H4,70,1.0,0,,0.04714736020601101,226.37417602539062
462848,7.898243618011475,H4,74,1.0,0,,0.04859658631752737,226.14276123046875
466944,7.962547679742177,H4,76,1.0,0,,0.04853009699497335,225.90170288085938
471040,8.029557287693024,H4,80,1.0,0,,0.04865169507767469,225.5723876953125
475136,8.095378092924754,H4,84,1.0,0,,0.04827809168869969,225.18185424804688
479232,8.160263971487682,H4,86,1.0,0,,0.04664741217996116,225.04978942871094
483328,8.229725495974224,H4,90,1.0,0,,0.04555067208385601,224.7157440185547
487424,8.298801183700562,H4,94,1.0,0,,0.04488187951023182,224.5142364501953
491520,8.365884586175282,H4,98,1.0,0,,0.04336767568431899,224.2498016357422
495616,8.432016638914744,H5,0,0.0,0,,nan,224.14341735839844
499712,8.49898765484492,H5,4,1.0,0,,0.0510940909649078,224.80931091308594
503808,8.562286802132924,H5,6,1.0,0,,0.04266582147172585,225.63198852539062
507904,8.625194013118744,H5,8,1.0,0,,0.03845615716397399,226.4415283203125
512000,8.694364281495412,H5,12,1.0,0,,0.034248572544387214,228.1518096923828
516096,8.76032216946284,H5,14,1.0,0,,0.03608590152119647,228.9789581298828
520192,8.82870991230011,H5,18,1.0,0,,0.037109344068849276,230.4875946044922
524288,8.89748496611913,H5,20,1.0,0,,0.03651752702426294,231.1111297607422
528384,8.969406163692474,H5,22,1.0,0,,0.036762252937720265,231.86245727539062
532480,9.040394385655722,H5,26,1.0,0,,0.03859316313663476,233.36383056640625
536576,9.108709251880645,H5,28,1.0,0,,0.04032237300914449,234.11984252929688
540672,9.185846976439159,H5,32,1.0,0,,0.041142769924201766,235.87481689453125
544768,9.255313555399576,H5,34,1.0,0,,0.03996185476551666,236.75782775878906
548864,9.327228633562724,H5,36,1.0,0,,0.03961740970274641,237.54151916503906
552960,9.399604483445485,H5,40,1.0,0,,0.041318465290837936,239.1500244140625
557056,9.470739436149596,H5,42,1.0,0,,0.04148351033302792,239.8106231689453
561152,9.54200338125229,H5,46,1.0,0,,0.044783401964161286,241.3146514892578
565248,9.610099256038666,H5,48,1.0,0,,0.047172505626661365,242.14622497558594
569344,9.677457312742868,H5,50,1.0,0,,0.048615378999885925,242.8690185546875
573440,9.750575963656107,H5,54,1.0,0,,0.04877135430019493,244.2357635498047
577536,9.82100477218628,H5,56,1.0,0,,0.0506630562276753,244.99037170410156
581632,9.893671909968058,H5,60,1.0,0,,0.05468845659813823,246.67559814453125
585728,9.960557901859284,H5,62,1.0,0,,0.056856216531559485,247.3502960205078
589824,10.029734428723653,H5,64,1.0,0,,0.05675753494715053,247.9989776611328
593920,10.10048847993215,H5,68,1.0,0,,0.057093347324993646,249.83270263671875
598016,10.16795662244161,H5,70,1.0,0,,0.058335540648628274,250.7159423828125
602112,10.240882174173992,H5,74,1.0,0,,0.06063954351234347,252.27037048339844
606208,10.309172451496124,H5,76,1.0,0,,0.06015235349189854,253.26585388183594
